                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2371,                 2.4984,                 1.5802,                0.65264,                0.66765,                0.68289,                0.44064,                 1.1945,                 1.7086,                 1.6258,                0.00333,                0.00333,                0.00333
                      2,                 1.1763,                 1.7021,                 1.4936,                0.67586,                0.65508,                 0.7144,                0.45448,                 1.2407,                 1.4393,                 1.6693,              0.0065973,              0.0065973,              0.0065973
                      3,                 1.2116,                 1.5358,                 1.5067,                0.54592,                0.67366,                0.62698,                0.40308,                 1.2482,                 1.4461,                 1.7067,              0.0097987,              0.0097987,              0.0097987
                      4,                 1.2209,                 1.4107,                  1.509,                0.62205,                0.70058,                0.69126,                0.44571,                 1.2245,                 1.2238,                 1.6398,               0.009703,               0.009703,               0.009703
                      5,                 1.1787,                 1.2886,                 1.4819,                0.74153,                0.72053,                0.77677,                0.51575,                 1.1643,                 1.0308,                 1.5834,               0.009703,               0.009703,               0.009703
                      6,                 1.1407,                  1.211,                 1.4523,                 0.7456,                0.72237,                0.79398,                0.54386,                 1.0978,                0.94583,                 1.5191,               0.009604,               0.009604,               0.009604
                      7,                 1.1238,                 1.1503,                 1.4401,                0.77389,                0.78523,                0.84965,                0.59267,                 1.0684,                0.83302,                 1.4806,               0.009505,               0.009505,               0.009505
                      8,                 1.1065,                 1.1086,                 1.4218,                0.79567,                0.78939,                0.86466,                0.59967,                 1.0633,                0.81365,                 1.4642,               0.009406,               0.009406,               0.009406
                      9,                 1.0932,                 1.0747,                 1.4128,                0.79145,                0.79146,                0.87249,                0.61077,                  1.054,                0.79657,                 1.4603,               0.009307,               0.009307,               0.009307
                     10,                 1.0772,                 1.0438,                 1.4013,                0.80056,                 0.8078,                 0.8751,                0.61655,                  1.042,                0.75555,                 1.4493,               0.009208,               0.009208,               0.009208
                     11,                 1.0647,                  1.019,                  1.392,                0.79661,                0.82398,                0.88001,                0.61497,                 1.0426,                0.75652,                 1.4445,               0.009109,               0.009109,               0.009109
                     12,                 1.0495,                0.99391,                 1.3812,                0.79847,                0.80672,                0.87631,                0.62601,                 1.0186,                0.73183,                 1.4273,                0.00901,                0.00901,                0.00901
                     13,                  1.048,                 0.9838,                 1.3758,                0.80341,                 0.8224,                0.88489,                0.63033,                 1.0207,                0.72363,                 1.4288,               0.008911,               0.008911,               0.008911
                     14,                 1.0388,                0.96395,                 1.3729,                0.81275,                 0.8199,                0.89017,                0.62566,                 1.0242,                0.71639,                 1.4277,               0.008812,               0.008812,               0.008812
                     15,                 1.0343,                0.95046,                 1.3699,                0.80755,                 0.8443,                0.90169,                0.64255,                 1.0198,                0.68764,                 1.4291,               0.008713,               0.008713,               0.008713
                     16,                 1.0235,                0.92911,                 1.3628,                0.82472,                0.82014,                0.89489,                0.64152,                 1.0087,                0.68485,                 1.4133,               0.008614,               0.008614,               0.008614
                     17,                 1.0153,                0.91644,                 1.3553,                 0.8273,                0.84028,                0.90286,                0.65085,                0.98926,                0.66501,                 1.3967,               0.008515,               0.008515,               0.008515
                     18,                 1.0115,                0.90169,                  1.353,                0.82704,                0.85528,                0.91147,                 0.6606,                0.99422,                0.65456,                 1.3963,               0.008416,               0.008416,               0.008416
                     19,                 1.0061,                0.89135,                 1.3477,                0.82131,                 0.8366,                0.90181,                0.65632,                0.98723,                0.66509,                 1.3958,               0.008317,               0.008317,               0.008317
                     20,                 1.0015,                0.89175,                 1.3493,                0.83126,                0.84822,                0.91012,                0.66069,                0.98257,                0.64595,                 1.3901,               0.008218,               0.008218,               0.008218
                     21,                 1.0035,                0.87679,                 1.3448,                 0.8451,                0.84686,                0.91833,                0.66747,                0.98852,                0.62457,                 1.3888,               0.008119,               0.008119,               0.008119
                     22,                0.99575,                0.86868,                 1.3388,                0.83943,                0.84069,                0.91047,                0.66461,                0.97476,                0.62818,                 1.3734,                0.00802,                0.00802,                0.00802
                     23,                0.99463,                0.86078,                 1.3392,                0.85185,                0.84634,                0.91712,                0.66488,                 0.9855,                0.62313,                 1.3823,               0.007921,               0.007921,               0.007921
                     24,                0.98927,                0.85128,                  1.335,                0.84297,                0.84796,                0.91849,                0.67375,                0.97575,                0.61648,                 1.3758,               0.007822,               0.007822,               0.007822
                     25,                0.98644,                0.84584,                 1.3357,                0.83542,                0.85004,                0.91598,                0.67103,                0.96886,                 0.6115,                 1.3691,               0.007723,               0.007723,               0.007723
                     26,                0.97368,                0.83173,                 1.3242,                0.84093,                0.86412,                0.92039,                0.67661,                0.96271,                0.60427,                 1.3637,               0.007624,               0.007624,               0.007624
                     27,                0.97754,                 0.8264,                 1.3274,                0.84276,                0.86819,                0.92222,                0.67895,                0.96491,                0.60233,                 1.3635,               0.007525,               0.007525,               0.007525
                     28,                0.97357,                0.82617,                 1.3244,                0.84107,                0.86847,                0.92419,                0.67878,                0.96795,                 0.5986,                 1.3668,               0.007426,               0.007426,               0.007426
                     29,                0.97214,                0.81251,                 1.3216,                0.84692,                0.86883,                0.92202,                0.67757,                0.96295,                 0.5906,                 1.3602,               0.007327,               0.007327,               0.007327
                     30,                0.96616,                0.80949,                 1.3173,                0.83428,                0.87535,                0.92287,                0.68137,                0.96686,                0.58408,                 1.3596,               0.007228,               0.007228,               0.007228
                     31,                0.96033,                 0.7995,                 1.3124,                0.85641,                0.85768,                0.92943,                0.68608,                0.95947,                0.56889,                 1.3571,               0.007129,               0.007129,               0.007129
                     32,                0.96229,                 0.7962,                 1.3168,                0.84932,                0.87239,                0.92831,                0.68564,                0.96468,                0.57323,                 1.3575,                0.00703,                0.00703,                0.00703
                     33,                 0.9586,                0.79599,                 1.3132,                0.85131,                0.85859,                0.92228,                0.68452,                0.95386,                0.56919,                 1.3462,               0.006931,               0.006931,               0.006931
                     34,                0.95123,                0.78161,                 1.3046,                0.85357,                 0.8704,                0.92789,                0.68627,                0.95716,                 0.5658,                 1.3465,               0.006832,               0.006832,               0.006832
                     35,                0.95268,                0.77662,                 1.3097,                 0.8524,                0.87244,                0.92957,                0.68856,                0.95537,                0.56383,                 1.3511,               0.006733,               0.006733,               0.006733
                     36,                0.94807,                0.77191,                 1.3042,                 0.8555,                0.86288,                0.92933,                0.69107,                0.95334,                0.56098,                 1.3446,               0.006634,               0.006634,               0.006634
                     37,                0.94845,                0.77719,                 1.3042,                0.85073,                0.86632,                0.92965,                0.68958,                0.94949,                0.55339,                 1.3407,               0.006535,               0.006535,               0.006535
                     38,                0.94357,                0.76489,                  1.301,                0.85929,                0.86382,                0.93136,                0.69323,                0.95085,                0.54855,                 1.3419,               0.006436,               0.006436,               0.006436
                     39,                0.94103,                0.76607,                 1.2999,                0.84814,                0.87379,                0.93311,                0.69557,                0.94644,                0.54564,                 1.3381,               0.006337,               0.006337,               0.006337
                     40,                0.94207,                0.76431,                 1.3006,                0.85841,                0.87087,                0.93223,                0.69435,                0.94846,                0.54774,                 1.3393,               0.006238,               0.006238,               0.006238
                     41,                0.93446,                0.75453,                 1.2971,                0.86085,                 0.8743,                0.93286,                0.69432,                0.94552,                0.54048,                 1.3367,               0.006139,               0.006139,               0.006139
                     42,                0.92781,                0.74449,                  1.293,                 0.8528,                0.87828,                0.93327,                0.69498,                0.94377,                0.53841,                 1.3367,                0.00604,                0.00604,                0.00604
                     43,                0.92677,                0.74614,                 1.2919,                0.86301,                0.87144,                0.93326,                0.69383,                0.94734,                0.54036,                 1.3363,               0.005941,               0.005941,               0.005941
                     44,                 0.9311,                0.74514,                 1.2952,                0.86526,                0.86779,                0.93255,                0.69353,                0.94713,                0.53866,                 1.3375,               0.005842,               0.005842,               0.005842
                     45,                0.92314,                0.73518,                 1.2878,                0.86675,                0.87055,                0.93219,                0.69252,                0.94726,                0.53768,                 1.3381,               0.005743,               0.005743,               0.005743
                     46,                0.93331,                0.73792,                 1.2954,                0.86363,                 0.8714,                0.93309,                0.69347,                0.94776,                0.53742,                 1.3391,               0.005644,               0.005644,               0.005644
                     47,                0.92699,                0.73141,                 1.2898,                0.85518,                0.87238,                0.93198,                0.69666,                0.94401,                0.53452,                 1.3353,               0.005545,               0.005545,               0.005545
                     48,                0.92022,                 0.7273,                  1.287,                0.85855,                0.86861,                0.93256,                0.69605,                0.94145,                0.53307,                 1.3327,               0.005446,               0.005446,               0.005446
                     49,                0.91698,                0.72149,                 1.2864,                0.85895,                0.87367,                0.93435,                0.69855,                0.94192,                0.52934,                 1.3334,               0.005347,               0.005347,               0.005347
                     50,                0.91628,                0.72025,                 1.2837,                0.85077,                0.88175,                0.93452,                0.69972,                0.94315,                0.52927,                  1.334,               0.005248,               0.005248,               0.005248
                     51,                0.91459,                0.71422,                 1.2803,                0.85427,                0.87903,                0.93463,                 0.6996,                0.94227,                0.52903,                 1.3334,               0.005149,               0.005149,               0.005149
                     52,                0.90825,                0.71173,                 1.2781,                0.85736,                0.87708,                0.93441,                    0.7,                0.94126,                0.52941,                  1.332,                0.00505,                0.00505,                0.00505
                     53,                0.90842,                0.71072,                  1.277,                 0.8499,                0.88056,                0.93405,                0.70115,                  0.941,                0.52819,                 1.3315,               0.004951,               0.004951,               0.004951
                     54,                0.90219,                0.70392,                 1.2763,                0.85282,                0.87898,                0.93418,                  0.701,                0.94155,                 0.5274,                 1.3314,               0.004852,               0.004852,               0.004852
                     55,                0.89967,                0.69752,                 1.2753,                0.86111,                0.87185,                0.93371,                0.70155,                0.93996,                0.52562,                 1.3304,               0.004753,               0.004753,               0.004753
                     56,                0.90534,                0.69701,                 1.2719,                0.86484,                0.87067,                 0.9334,                0.70115,                0.93941,                0.52632,                 1.3296,               0.004654,               0.004654,               0.004654
                     57,                 0.8973,                 0.6912,                   1.27,                0.86344,                0.87407,                0.93299,                 0.7008,                0.93979,                0.52573,                 1.3302,               0.004555,               0.004555,               0.004555
                     58,                0.89647,                0.69475,                 1.2724,                 0.8647,                0.87328,                0.93323,                0.70072,                0.94036,                0.52649,                 1.3301,               0.004456,               0.004456,               0.004456
                     59,                0.89646,                0.68665,                   1.27,                0.86358,                0.87106,                0.93346,                0.70002,                0.94153,                0.52626,                 1.3311,               0.004357,               0.004357,               0.004357
                     60,                0.89934,                0.68546,                 1.2684,                 0.8657,                 0.8695,                0.93336,                0.69984,                 0.9425,                0.52634,                 1.3317,               0.004258,               0.004258,               0.004258
                     61,                0.89302,                0.68358,                 1.2661,                0.87064,                0.86654,                 0.9333,                0.70106,                0.94239,                0.52647,                 1.3312,               0.004159,               0.004159,               0.004159
                     62,                0.89451,                0.67407,                 1.2659,                0.87084,                0.86756,                0.93373,                0.70169,                0.94226,                0.52567,                 1.3307,                0.00406,                0.00406,                0.00406
                     63,                0.88952,                0.66641,                 1.2618,                0.86889,                0.86773,                0.93352,                 0.7013,                0.94203,                0.52437,                 1.3301,               0.003961,               0.003961,               0.003961
                     64,                0.88554,                0.66886,                 1.2623,                0.87168,                0.86874,                 0.9346,                0.70235,                0.94211,                0.52418,                 1.3299,               0.003862,               0.003862,               0.003862
                     65,                0.87904,                0.66447,                 1.2604,                0.86975,                0.86892,                0.93373,                0.70105,                0.94202,                0.52394,                 1.3297,               0.003763,               0.003763,               0.003763
                     66,                0.88256,                0.66519,                 1.2601,                0.87028,                0.86935,                0.93374,                0.70152,                0.94242,                0.52395,                   1.33,               0.003664,               0.003664,               0.003664
                     67,                0.87973,                0.66439,                 1.2585,                 0.8692,                  0.872,                0.93377,                0.70194,                0.94231,                0.52354,                 1.3297,               0.003565,               0.003565,               0.003565
                     68,                  0.883,                0.66256,                 1.2617,                0.87314,                0.86874,                0.93392,                0.70254,                 0.9427,                0.52324,                 1.3299,               0.003466,               0.003466,               0.003466
                     69,                0.87344,                0.65414,                 1.2507,                 0.8687,                0.87211,                0.93373,                0.70144,                0.94328,                0.52246,                 1.3305,               0.003367,               0.003367,               0.003367
                     70,                 0.8721,                0.64885,                 1.2529,                  0.871,                0.87153,                0.93363,                0.70154,                0.94342,                 0.5217,                 1.3307,               0.003268,               0.003268,               0.003268
                     71,                0.87302,                0.64538,                 1.2526,                 0.8701,                0.87146,                0.93329,                0.70103,                 0.9436,                0.52106,                 1.3309,               0.003169,               0.003169,               0.003169
                     72,                 0.8674,                0.64322,                 1.2506,                0.87159,                0.87166,                0.93315,                0.70104,                0.94368,                0.52062,                  1.331,                0.00307,                0.00307,                0.00307
                     73,                0.86905,                0.64522,                 1.2517,                0.87112,                0.87093,                0.93331,                0.70145,                 0.9435,                0.52037,                  1.331,               0.002971,               0.002971,               0.002971
                     74,                0.86753,                0.64401,                 1.2504,                0.87085,                0.87129,                0.93311,                0.70141,                0.94338,                0.51956,                 1.3309,               0.002872,               0.002872,               0.002872
                     75,                0.85579,                0.62758,                 1.2439,                0.87278,                0.86845,                0.93283,                0.70158,                0.94346,                 0.5198,                  1.331,               0.002773,               0.002773,               0.002773
                     76,                0.85866,                0.63068,                 1.2438,                0.87326,                0.86864,                0.93255,                0.70089,                0.94372,                0.51935,                 1.3312,               0.002674,               0.002674,               0.002674
                     77,                0.85909,                0.62956,                 1.2443,                0.87328,                0.86877,                0.93246,                0.70062,                0.94412,                0.51907,                 1.3315,               0.002575,               0.002575,               0.002575
                     78,                0.84829,                0.62614,                 1.2391,                0.87101,                0.87152,                0.93252,                0.70076,                0.94419,                0.51883,                 1.3316,               0.002476,               0.002476,               0.002476
                     79,                0.84843,                 0.6196,                 1.2387,                0.87095,                0.87257,                0.93253,                0.70083,                0.94424,                0.51848,                 1.3319,               0.002377,               0.002377,               0.002377
                     80,                0.84598,                0.61683,                 1.2351,                0.87101,                0.87285,                0.93258,                0.70079,                0.94411,                0.51842,                 1.3318,               0.002278,               0.002278,               0.002278
                     81,                 0.8498,                0.61889,                 1.2381,                0.87022,                0.87337,                0.93244,                0.70071,                0.94422,                0.51819,                 1.3318,               0.002179,               0.002179,               0.002179
                     82,                0.83972,                0.61504,                 1.2343,                0.86929,                 0.8742,                0.93233,                0.70055,                0.94445,                0.51803,                 1.3322,                0.00208,                0.00208,                0.00208
                     83,                0.83756,                0.60998,                 1.2331,                0.86948,                0.87377,                0.93187,                0.70019,                 0.9443,                0.51821,                 1.3321,               0.001981,               0.001981,               0.001981
                     84,                0.83937,                0.60793,                  1.232,                0.86949,                0.87352,                0.93182,                0.69996,                0.94424,                 0.5181,                 1.3321,               0.001882,               0.001882,               0.001882
                     85,                0.83673,                0.60301,                 1.2312,                0.87112,                0.87299,                0.93191,                0.70002,                0.94419,                0.51804,                  1.332,               0.001783,               0.001783,               0.001783
                     86,                0.83235,                0.60105,                 1.2283,                  0.869,                0.87396,                0.93176,                0.69937,                0.94415,                0.51778,                  1.332,               0.001684,               0.001684,               0.001684
                     87,                0.82964,                0.59318,                 1.2248,                0.86877,                0.87452,                0.93169,                0.69932,                0.94431,                0.51738,                 1.3322,               0.001585,               0.001585,               0.001585
                     88,                0.83153,                 0.5966,                 1.2272,                0.86813,                0.87297,                0.93168,                0.69953,                0.94408,                0.51724,                 1.3322,               0.001486,               0.001486,               0.001486
                     89,                0.82422,                0.58537,                 1.2196,                0.86812,                0.87387,                0.93171,                0.69917,                0.94418,                0.51693,                 1.3323,               0.001387,               0.001387,               0.001387
                     90,                0.82713,                0.58653,                 1.2247,                0.86802,                0.87467,                0.93188,                0.69924,                0.94431,                0.51686,                 1.3325,               0.001288,               0.001288,               0.001288
                     91,                0.80912,                0.47189,                 1.2807,                0.86617,                0.87603,                0.93172,                0.69902,                0.94432,                 0.5166,                 1.3326,               0.001189,               0.001189,               0.001189
                     92,                 0.7956,                0.45558,                 1.2698,                0.86598,                0.88036,                 0.9317,                0.69938,                0.94462,                 0.5162,                 1.3328,                0.00109,                0.00109,                0.00109
                     93,                0.78904,                0.45053,                 1.2644,                0.86596,                0.87882,                0.93137,                0.69924,                0.94489,                0.51607,                 1.3329,               0.000991,               0.000991,               0.000991
                     94,                0.78129,                0.44269,                 1.2589,                0.86631,                0.87995,                 0.9314,                0.69962,                0.94473,                0.51597,                 1.3329,               0.000892,               0.000892,               0.000892
                     95,                0.77927,                0.43993,                 1.2571,                0.86544,                0.88061,                0.93175,                0.69982,                0.94477,                0.51573,                 1.3329,               0.000793,               0.000793,               0.000793
                     96,                0.77312,                0.43424,                 1.2494,                0.86478,                0.88059,                0.93177,                0.69983,                0.94487,                0.51564,                 1.3329,               0.000694,               0.000694,               0.000694
                     97,                0.76745,                0.43098,                  1.247,                0.86566,                0.87972,                0.93157,                0.69974,                0.94505,                0.51539,                  1.333,               0.000595,               0.000595,               0.000595
                     98,                0.76081,                0.42316,                  1.243,                0.86543,                 0.8786,                0.93164,                0.69968,                0.94516,                0.51515,                 1.3331,               0.000496,               0.000496,               0.000496
                     99,                0.75787,                0.42033,                 1.2395,                0.86359,                0.88112,                0.93165,                 0.6999,                0.94536,                0.51505,                 1.3332,               0.000397,               0.000397,               0.000397
                    100,                0.75625,                 0.4196,                 1.2421,                 0.8689,                0.87663,                0.93168,                0.69997,                0.94533,                 0.5149,                 1.3332,               0.000298,               0.000298,               0.000298
